BICKNER Kevin,Code paysUSA,Saut à ski,Individuel tremplin normal hommesIndividuel grand tremplin hommesSuper team hommes
BIERI Cyril,Code paysSUI,Bobsleigh,Bob à quatre
BILKA Hannah,Code paysUSA,Hockey sur glace,Femmes
BILOTTI Lorenzo,Code paysITA,Bobsleigh,Bob à quatre
BINDILATTI Edson Luques,Code paysBRA,Bobsleigh,Bob à deux hommesBob à quatre
BINNINGTON Jordan,Code paysCAN,Hockey sur glace,Hommes
BIRKELAND Giorgia,Code paysUSA,Patinage de vitesse,1500 m femmes5000 m femmesDépart groupé femmesPoursuite par équipes femmes
BIRKENTALS Renars,Code paysLAT,Biathlon,"20 km individuel hommes10 km sprint hommesRelais 4 x 7,5 km hommesRelais mixte 4 x 6km (H+F)"
BJORKSTRAND Oliver,Code paysDEN,Hockey sur glace,Hommes
BLACKWELL Chase,Code paysUSA,Snowboard,Snowboard halfpipe hommes
BLAIRON Nils,Code paysFRA,Bobsleigh,Bob à quatre
BLAIS Danae,Code paysCAN,Patinage de vitesse sur piste courte,1500 m femmesRelais 3000 m femmes
BLANC Malorie,Code paysSUI,Ski alpin,Descente femmesSuper-G femmes
BLICHFELD Joachim,Code paysDEN,Hockey sur glace,Hommes
BLIZZARD Sarah,Code paysAUS,Bobsleigh,Bob à deux femmes
BLOEMEN Ted-Jan,Code paysCAN,Patinage de vitesse,5000 m hommes10000 m hommes
BLOIS de Glenn,Code paysNED,Snowboard,Snowboard cross hommes
BLONDIN Ivanie,Code paysCAN,Patinage de vitesse,1500 m femmes3000 m femmes5000 m femmesDépart groupé femmesPoursuite par équipes femmes
BLOUIN Laurie,Code paysCAN,Snowboard,Snowboard slopestyle femmesSnowboard big air femmes
BLUGERS Teodors,Code paysLAT,Hockey sur glace,Hommes
BOCH Margot,Code paysFRA,Bobsleigh,Bob à deux femmesMonobob femmes
BOCOCK Mary,Code paysUSA,Ski alpin,Super-G femmes
BOER Teun,Code paysNED,Patinage de vitesse sur piste courte,500 m hommes1000 m hommesRelais 5000 m hommesRelais par équipes mixtes
BOERSMA Anna,Code paysNED,Patinage de vitesse,500 m femmes1000 m femmes
BOESCH Fabian,Code paysSUI,Ski acrobatique,Freeski slopestyle hommesFreeski big air hommes
BOGDANOVA Kitija,Code paysLAT,Luge,Double femmesRelais par équipes
BOHAC Radek,Code paysCZE,Curling,Hommes
BOLDY Matt,Code paysUSA,Hockey sur glace,Hommes
BONAFINI Eleonora,Code paysITA,Hockey sur glace,Femmes
BONDARE Liene,Code paysLAT,Ski alpin,Slalom femmes
BORGNAES Christian,Code paysDEN,Ski alpin,Slalom géant hommes
BORGULA Jakub,Code paysSVK,Biathlon,"10 km sprint hommes12,5 km poursuite hommesRelais mixte 4 x 6km (H+F)"
BORKOVSKYI Bohdan,Code paysUKR,Biathlon,"10 km sprint hommesRelais 4 x 7,5 km hommes"
BORMOLINI Maurizio,Code paysITA,Snowboard,Slalom géant parallèle hommes
BOS Kimberley,Code paysNED,Skeleton,Femmes
BOSCACCI Michele,Code paysITA,Ski alpinisme,Sprint hommesRelais mixte
BOSCO Emma,Code paysAUS,Ski acrobatique,Bosses femmesBosses en parallèle femmes
BOSCQ Jules,Code paysFRA,Hockey sur glace,Hommes
BOSIEK Karolina,Code paysPOL,Patinage de vitesse,500 m femmes1000 m femmes1500 m femmes
BOSKER Marcel,Code paysNED,Patinage de vitesse,1500 m hommes5000 m hommes10000 m hommesPoursuite par équipes hommes
BOSMAN Christian,Code paysSVK,Luge,Double hommes
BOTA Elina,Code paysLAT,Luge,Simple femmesRelais par équipes
BOTN Johan-Olav,Code paysNOR,Biathlon,"20 km individuel hommes10 km sprint hommes12,5 km poursuite hommes15 km départ groupé hommesRelais 4 x 7,5 km hommes"
BOTS Martins,Code paysLAT,Luge,Double hommesRelais par équipes
BOUCHARD Eli,Code paysCAN,Snowboard,Snowboard slopestyle hommesSnowboard big air hommes
BOUDIN Clemence,Code paysFRA,Hockey sur glace,Femmes
BOUDON Louis,Code paysFRA,Hockey sur glace,Hommes
BOUFFARD-NESBITT Olivia,Code paysCAN,Ski de fond,Sprint classique femmes
BOUTIN Kim,Code paysCAN,Patinage de vitesse sur piste courte,500 m femmes1000 m femmes1500 m femmesRelais 3000 m femmesRelais par équipes mixtes
BOUVARD Eve,Code paysBEL,Biathlon,"15 km individuel femmes7,5 km sprint femmesRelais 4 x 6 km femmes"
BOUVENG Josefin,Code paysSWE,Hockey sur glace,Femmes
BOWE Brittany,Code paysUSA,Patinage de vitesse,1000 m femmes1500 m femmesPoursuite par équipes femmes
BOYD-CLOWES Mackenzie,Code paysCAN,Saut à ski,Individuel tremplin normal hommesIndividuel grand tremplin hommes
BOZON Kevin,Code paysFRA,Hockey sur glace,Hommes
BOZZOLO Loan,Code paysFRA,Snowboard,Snowboard cross hommesSnowboard cross par équipes mixtes
BRADLEY Matt,Code paysITA,Hockey sur glace,Hommes
BRAENDLI Andrea,Code paysSUI,Hockey sur glace,Femmes
BRAISAZ-BOUCHET Justine,Code paysFRA,Biathlon,"15 km individuel femmes7,5 km sprint femmes12,5 km départ groupé femmes"
BRANDT Viktor,Code paysSWE,Biathlon,"20 km individuel hommesRelais 4 x 7,5 km hommes"
BRATT Jesper,Code paysSWE,Hockey sur glace,Hommes
BRAUN Violette,Code paysFRA,Patinage de vitesse,3000 m femmesDépart groupé femmes
BRAUNHOFER Patrick,Code paysITA,Biathlon,"20 km individuel hommesRelais 4 x 7,5 km hommes"
BRECL Gasper,Code paysSLO,Combiné nordique,Gundersen petit tremplin / 10 km indiv.Gundersen grand tremplin / 10 km indiv.Sprint par équipes
BRENNAN Rosie,Code paysUSA,Ski de fond,"Skiathlon 10 km + 10 km femmesRelais 4 x 7,5 km femmes50 km classique départ en ligne femmes"
BRENNSTEINER Stefan,Code paysAUT,Ski alpin,Slalom géant hommes
BRESADOLA Giovanni,Code paysITA,Saut à ski,Individuel tremplin normal hommesIndividuel grand tremplin hommesSuper team hommesPar équipes mixtes
BRIGNONE Federica,Code paysITA,Ski alpin,Descente femmesSlalom géant femmesSuper-G femmes
BRIGUET Robin,Code paysSUI,Ski acrobatique,Freeski halfpipe hommes
BRISSAUD Geoffrey,Code paysFRA,Patinage artistique,Danse sur glaceÉpreuve par équipes
BRITCHER Summer,Code paysUSA,Luge,Simple femmes
BRITSCHGI Lukas,Code paysSUI,Patinage artistique,Patinage individuel hommes
BROBERG Philip,Code paysSWE,Hockey sur glace,Hommes
BROOKES Mia,Code paysGBR,Snowboard,Snowboard slopestyle femmesSnowboard big air femmes
BROWN Axel,Code paysTTO,Bobsleigh,Bob à deux hommesBob à quatre
BROWN Indra,Code paysAUS,Ski acrobatique,Freeski halfpipe femmes
BROWN Rachel,Code paysCAN,Curling,Femmes
BRUDERMANN Katharina,Code paysAUT,Ski de fond,"Individuel 10 km libre femmesRelais 4 x 7,5 km femmes"
BRUGGELING Keaton,Code paysCAN,Bobsleigh,Bob à quatre
BRUGGER Janosch,Code paysGER,Ski de fond,"Individuel 10 km libre hommesRelais 4 x 7,5 km hommesSprint classique hommes"
BRUGGISSER Phillip,Code paysDEN,Hockey sur glace,Hommes
BRUNELLE Florence,Code paysCAN,Patinage de vitesse sur piste courte,500 m femmes1000 m femmesRelais 3000 m femmesRelais par équipes mixtes
BRUNET Cedrick,Code paysCAN,Patinage de vitesse,500 m hommes1000 m hommes
BRUNGA Lisa,Code paysALB,Ski alpin,Slalom femmes
BRUNNER Blanca,Code paysHUN,Snowboard,Snowboard cross femmes
BRUNNER Stephanie,Code paysAUT,Ski alpin,Slalom géant femmes
BRUSIC Josip,Code paysCAN,Skeleton,HommesPar équipes mixtes
BRYJA Sebastian,Code paysPOL,Ski de fond,Individuel 10 km libre hommesSkiathlon 10 km + 10 km hommesSprint classique hommes
BRYKINA Anhelina,Code paysUKR,Ski acrobatique,Saut acrobatique femmesSaut acrobatique par équipes mixtes
BU LUER,Code paysCHN,Ski alpinisme,Sprint hommesRelais mixte
BUCHER Heidi,Code paysAUT,Ski de fond,"Relais 4 x 7,5 km femmesSprint classique femmesSprint libre par équipes femmes"
BUCHI Annic,Code paysSUI,Hockey sur glace,Femmes
BUCHUKURI Luka,Code paysGEO,Ski alpin,Slalom hommesSlalom géant hommes
BUCIK JOGAN Ana,Code paysSLO,Ski alpin,Slalom femmesSlalom géant femmesCombiné alpin par équipes femmes
BUCK Kaylie,Code paysCAN,Snowboard,Slalom géant parallèle femmes
BUCKWITZ Lisa,Code paysGER,Bobsleigh,Bob à deux femmesMonobob femmes
BUEHLER Mauro,Code paysLIE,Bobsleigh,Bob à quatre
BUENEMANN de BESCHE Anne,Code paysDEN,Biathlon,"15 km individuel femmes7,5 km sprint femmes10 km poursuite femmes12,5 km départ groupé femmes"
BUFF Vinzenz,Code paysSUI,Skeleton,Hommes
BUKARTS Rihards,Code paysLAT,Hockey sur glace,Hommes
BUKARTS Roberts,Code paysLAT,Hockey sur glace,Hommes
BUKI Adam,Code paysHUN,Ski de fond,Individuel 10 km libre hommesSkiathlon 10 km + 10 km hommes50 km classique départ en ligne hommesSprint classique hommesSprint libre par équipes hommes
BUKOWSKA-CHYC Maria,Code paysPOL,Snowboard,Slalom géant parallèle femmes
BULINA Sanita,Code paysLAT,Biathlon,"15 km individuel femmes7,5 km sprint femmes10 km poursuite femmesRelais 4 x 6 km femmes"
BURGENER Patrick,Code paysBRA,Snowboard,Snowboard halfpipe hommes
BURGER Nicole,Code paysRSA,Skeleton,Femmes
BURIC Katarina,Code paysCRO,Patinage de vitesse sur piste courte,1500 m femmes
BURKHALTER Joscha,Code paysSUI,Biathlon,"20 km individuel hommes10 km sprint hommes12,5 km poursuite hommes15 km départ groupé hommesRelais 4 x 7,5 km hommes"
BURRI Ariane,Code paysSUI,Snowboard,Snowboard slopestyle femmesSnowboard big air femmes
